Esteio,Rio Grande do Sul,83700
Serra Talhada,Pernambuco,83051
Ijuí,Rio Grande do Sul,82276
Serrinha,Bahia Bahia,82157
Santa Inês,Maranhão,82106
Gurupi,Tocantins,81792
Unaí,Minas Gerais,81693
Arujá,São Paulo,81326
Coari,Amazonas,81325
Seropédica,Rio de Janeiro,81260
Araripina,Pernambuco,80577
Matão,São Paulo,80528
Gravatá,Pernambuco,80450
Cruzeiro,São Paulo,80408
São Sebastião,São Paulo,80379
Cruzeiro do Sul,Acre,80377
Pinheiro,Maranhão,80365
Senhor do Bonfim,Bahia Bahia,80258
Saquarema,Rio de Janeiro,79421
Carpina,Pernambuco,79308
Campo Limpo Paulista,São Paulo,79091
Alegrete,Rio Grande do Sul,79054
Redenção,Pará Pará,79010
São Bento do Sul,Santa Catarina,78998
Santo Ângelo,Rio Grande do Sul,78836
Três Rios,Rio de Janeiro,78723
Sapiranga,Rio Grande do Sul,78718
Goiana,Pernambuco,77945
Caldas Novas,Goiás,77899
Curvelo,Minas Gerais,77824
Pacatuba,Ceará,77723
Alfenas,Minas Gerais,77618
Bebedouro,São Paulo,77487
João Monlevade,Minas Gerais,77474
Pato Branco,Paraná,77230
Três Corações,Minas Gerais,76734
Canindé,Ceará,76439
Chapadinha,Maranhão,76217
Lajeado,Rio Grande do Sul,76187
Aquiraz,Ceará,76186
Viçosa,Minas Gerais,76147
Picos,Piauí,76042
Quixeramobim,Ceará,75565
Macaíba,Rio Grande do Norte,75548
Santa Luzia,Maranhão,75444
Cianorte,Paraná,75360
Ibiúna,São Paulo,75241
Lins,São Paulo,75117
Sorriso,Mato Grosso,75104
Dias d'Ávila,Bahia Bahia,75103
Jaboticabal,São Paulo,75041
Belo Jardim,Pernambuco,74902
Moju,Pará Pará,74768
Itapetinga,Bahia Bahia,74652
Caçador,Santa Catarina,74276
Telêmaco Borba,Paraná,74270
Crateús,Ceará,74103
Pirassununga,São Paulo,73656
Palmeira dos Índios,Alagoas,73532
Russas,Ceará,73436
Ouro Preto,Minas Gerais,73349
Cataguases,Minas Gerais,73232
Valença,Rio de Janeiro,73154
Luís Eduardo Magalhães,Bahia Bahia,73061
Viana,Espírito Santo,72115
Tianguá,Ceará,72110
Arcoverde,Pernambuco,72102
Itapira,São Paulo,72048
Irecê,Bahia Bahia,72041
Ceará-Mirim,Rio Grande do Norte,71856
Rio Largo,Alagoas,71834
Aracati,Ceará,71749
Santa Rosa,Rio Grande do Sul,71665
Campo Formoso,Bahia Bahia,71507
Concórdia,Santa Catarina,71499
Casa Nova,Bahia Bahia,70796
Castro,Paraná,70086
Camboriú,Santa Catarina,70068
Janaúba,Minas Gerais,70041
Vinhedo,São Paulo,69845
Cajamar,São Paulo,69584
Amparo,São Paulo,69322
Venâncio Aires,Rio Grande do Sul,69154
Cascavel,Ceará,68926
Brumado,Bahia Bahia,68776
Buriticupu,Maranhão,68626
Mococa,São Paulo,68590
São Sebastião do Paraíso,Minas Gerais,68518
Navegantes,Santa Catarina,68337
Bom Jesus da Lapa,Bahia Bahia,68282
Sousa,Paraíba,68030
Santo Antônio do Descoberto,Goiás,67993
Januária,Minas Gerais,67875
Ouricuri,Pernambuco,67689
Novo Repartimento,Pará Pará,67652
Formiga,Minas Gerais,67617
Fernandópolis,São Paulo,67543
Estância,Sergipe,67491
Farroupilha,Rio Grande do Sul,67465
Itamaraju,Bahia Bahia,67128
Conceição do Coité,Bahia Bahia,67126
Icó,Ceará,66885
Oriximiná,Pará Pará,66821
Pacajus,Ceará,66510
Escada,Pernambuco,66419
Embu-Guaçu,São Paulo,66273
Caicó,Rio Grande do Norte,66246
Itaberaba,Bahia Bahia,65806
Tupã,São Paulo,65540
Capanema,Pará Pará,65498
União dos Palmares,Alagoas,65495
Camaquã,Rio Grande do Sul,65409
Pesqueira,Pernambuco,65374
Rio do Sul,Santa Catarina,65256
Esmeraldas,Minas Gerais,65224
Grajaú,Maranhão,65078
Lençóis Paulista,São Paulo,65026
Itapecuru Mirim,Maranhão,64951
Cosmópolis,São Paulo,64415
Araranguá,Santa Catarina,64405
Vacaria,Rio Grande do Sul,64252
Cruz Alta,Rio Grande do Sul,64126
Santa Isabel do Pará,Pará Pará,63973
Goianésia,Goiás,63938
Peruíbe,São Paulo,63815
Penedo,Alagoas,63595
Campo Bom,Rio Grande do Sul,63339
Cruz das Almas,Bahia Bahia,63299
São Borja,Rio Grande do Sul,63194
Coroatá,Maranhão,63154
Cabedelo,Paraíba,63035
Santana do Araguaia,Pará Pará,63031
Tefé,Amazonas,62885
Gaspar,Santa Catarina,62618
São Gabriel,Rio Grande do Sul,62594
Piripiri,Piauí,62542
Montenegro,Rio Grande do Sul,62484
Biguaçu,Santa Catarina,62383
Morada Nova,Ceará,62287
Ipirá,Bahia Bahia,62253
Pedro Leopoldo,Minas Gerais,61975
Camocim,Ceará,61918
Surubim,Pernambuco,61875
Rolândia,Paraná,61837
Palmares,Pernambuco,61731
Carazinho,Rio Grande do Sul,61702
Cidade Ocidental,Goiás,61552
Santo Amaro,Bahia Bahia,61407
Penápolis,São Paulo,61371
Cajazeiras,Paraíba,60612
Horizonte,Ceará,60584
Euclides da Cunha,Bahia Bahia,60558
Indaial,Santa Catarina,60433
Bezerros,Pernambuco,60213
Acaraú,Ceará,60137
Moreno,Pernambuco,59836
Batatais,São Paulo,59654
Igarapé-Miri,Pará Pará,59644
Ponte Nova,Minas Gerais,59614
Tomé-Açu,Pará Pará,59112
São Miguel dos Campos,Alagoas,59077
Salgueiro,Pernambuco,59037
Irati,Paraná,58957
Barreirinhas,Maranhão,58599
Floriano,Piauí,58586
Viseu,Pará Pará,58323
Tabatinga,Amazonas,58314
Mineiros,Goiás,58062
Breu Branco,Pará Pará,58033
Barbalha,Ceará,57818
Barra do Garças,Mato Grosso,57791
Viçosa do Ceará,Ceará,57719
Maués,Amazonas,57663
Mariana,Minas Gerais,57639
Lagoa Santa,Minas Gerais,57589
Guarabira,Paraíba,57383
Limoeiro do Norte,Ceará,57372
Tauá,Ceará,57246
Andradina,São Paulo,57145
Rio Bonito,Rio de Janeiro,56942
Mirassol,São Paulo,56910
Taquara,Rio Grande do Sul,56896
Frutal,Minas Gerais,56720
Ibitinga,São Paulo,56531
São Bento do Una,Pernambuco,56413
Limoeiro,Pernambuco,56407
Açu,Rio Grande do Norte,56354
Taquaritinga,São Paulo,56204
Três Pontas,Minas Gerais,56156
Monte Alegre,Pará Pará,56147
Registro,São Paulo,56123
Benevides,Pará Pará,56112
Portel,Pará Pará,56094
São Francisco,Minas Gerais,56003
Tucano,Bahia Bahia,55923
Tutoia,Maranhão,55705
Pirapora,Minas Gerais,55704
Araci,Bahia Bahia,55655
Coruripe,Alagoas,55648
Cachoeiras de Macacu,Rio de Janeiro,55632
Jaru,Rondônia,55597
União da Vitória,Paraná,55467
Canguçu,Rio Grande do Sul,55462
Primavera do Leste,Mato Grosso,55451
Rolim de Moura,Rondônia,55357
Buíque,Pernambuco,55268
Nova Odessa,São Paulo,55229
Campo Alegre,Alagoas,55161
Catu,Bahia Bahia,55021
Jaguaquara,Bahia Bahia,54902
Monte Santo,Bahia Bahia,54884
Mafra,Santa Catarina,54708
Guapimirim,Rio de Janeiro,54706
Ipixuna do Pará,Pará Pará,54609
Dom Eliseu,Pará Pará,54602
Parobé,Rio Grande do Sul,54599
São Miguel do Guamá,Pará Pará,54417
Jacundá,Pará Pará,54376
Piedade,São Paulo,54323
Timbaúba,Pernambuco,54115
Porto Ferreira,São Paulo,54056
Paudalho,Pernambuco,54051
Alenquer,Pará Pará,54035
Acará,Pará Pará,54030
São José do Rio Pardo,São Paulo,54024
Canoinhas,Santa Catarina,53969
Santa Isabel,São Paulo,53784
Bertioga,São Paulo,53679
Campo Belo,Minas Gerais,53656
Boa Viagem,Ceará,53608
Trairi,Ceará,53561
Monte Mor,São Paulo,53488
Granja,Ceará,53435
Boituva,São Paulo,53431
Barra,Bahia Bahia,53361
Vargem Grande,Maranhão,52937
Itapema,Santa Catarina,52923
Leopoldina,Minas Gerais,52915
Lucas do Rio Verde,Mato Grosso,52843
Acopiara,Ceará,52661
Olímpia,São Paulo,52650
Capitão Poço,Pará Pará,52537
Santo Estêvão,Bahia Bahia,52186
Caetité,Bahia Bahia,52166
Capivari,São Paulo,51949
Itupiranga,Pará Pará,51711
Congonhas,Minas Gerais,51709
Sapé,Paraíba,51700
Porto Nacional,Tocantins,51501
Guaxupé,Minas Gerais,51488
Juruti,Pará Pará,51483
Beberibe,Ceará,51442
Içara,Santa Catarina,51416
Manicoré,Amazonas,51331
Porto Feliz,São Paulo,51320
Ibiporã,Paraná,51255
Cristalina,Goiás,51149
Itupeva,São Paulo,51082
Delmiro Gouveia,Alagoas,50999
Prudentópolis,Paraná,50983
Ribeira do Pombal,Bahia Bahia,50805
Inhumas,Goiás,50736
Viana,Maranhão,50687
Mongaguá,São Paulo,50641
Santiago,Rio Grande do Sul,50608
Tobias Barreto,Sergipe,50557
Campos do Jordão,São Paulo,50221
Itapagé,Ceará,50211
Óbidos,Pará Pará,50171
Vigia,Pará Pará,50055
Ulianópolis,Pará Pará,49972
Marechal Deodoro,Alagoas,49853
Zé Doca,Maranhão,49848
Naviraí,Mato Grosso do Sul,49827
Itararé,São Paulo,49818
Marechal Cândido Rondon,Paraná,49773
Videira,Santa Catarina,49768
